label,phase,epoch,loss,matrix,layer,head,shape,cond,eff_rank_50,spectral_entropy,norm_entropy,sv_max,sv_min,sv_mean
w64_ep7_m1,w64,7,6.092,Q,4,1,"(256, 64)",2.816331624984741,26,4.124458312988281,0.991722592416909,2.9435336589813232,1.0451658964157104,1.94032621383667
w64_ep7_m1,w64,7,6.092,Q,4,2,"(256, 64)",2.73801326751709,26,4.125762939453125,0.9920362887720827,2.8613033294677734,1.0450290441513062,1.9242985248565674
w64_ep7_m1,w64,7,6.092,Q,4,3,"(256, 64)",2.8120453357696533,25,4.122918128967285,0.991352256442051,2.9875128269195557,1.0623985528945923,1.9435641765594482
w64_ep7_m1,w64,7,6.092,K,4,0,"(256, 64)",2.7454030513763428,26,4.125113010406494,0.9918800138699988,2.985354423522949,1.0874011516571045,1.9393165111541748
w64_ep7_m1,w64,7,6.092,K,4,1,"(256, 64)",2.8151943683624268,26,4.1241559982299805,0.9916499010831443,2.966449499130249,1.0537281036376953,1.9394848346710205
w64_ep7_m1,w64,7,6.092,K,4,2,"(256, 64)",2.774794340133667,26,4.123801231384277,0.9915645976883164,2.901090145111084,1.0455154180526733,1.926910161972046
w64_ep7_m1,w64,7,6.092,K,4,3,"(256, 64)",2.8354930877685547,26,4.123466491699219,0.9914841098077126,2.933964967727661,1.0347282886505127,1.914427638053894
w64_ep7_m1,w64,7,6.092,V,4,0,"(256, 64)",2.9061853885650635,26,4.1234049797058105,0.9914693192997384,2.9367268085479736,1.0105091333389282,1.9353771209716797
w64_ep7_m1,w64,7,6.092,V,4,1,"(256, 64)",2.915128231048584,26,4.124585151672363,0.991753090673662,2.9170141220092773,1.000646948814392,1.9337074756622314
w64_ep7_m1,w64,7,6.092,V,4,2,"(256, 64)",2.85402512550354,26,4.124776363372803,0.9917990673689927,2.9231629371643066,1.0242246389389038,1.9403517246246338
w64_ep7_m1,w64,7,6.092,V,4,3,"(256, 64)",2.8235483169555664,26,4.123226165771484,0.9914263236370227,2.9603796005249023,1.0484607219696045,1.9324207305908203
w64_ep7_m1,w64,7,6.092,Wo,4,-1,"(256, 256)",1365.0887451171875,70,5.320822238922119,0.9595404821930816,2.1081488132476807,0.0015443309675902128,0.8505667448043823
w64_ep7_m1,w64,7,6.092,FFN_up,4,-1,"(1024, 256)",3.2594685554504395,100,5.508365154266357,0.9933613864332055,1.978618860244751,0.6070372462272644,1.187922477722168
w64_ep7_m1,w64,7,6.092,FFN_down,4,-1,"(256, 1024)",12.09970760345459,98,5.491725921630859,0.9903607191322766,3.4003188610076904,0.28102487325668335,0.7069166302680969
w64_ep7_m1,w64,7,6.092,Q,5,0,"(256, 64)",2.7009923458099365,26,4.125680923461914,0.9920165680947838,2.8786191940307617,1.0657635927200317,1.9328711032867432
